year,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,a35,a36,a37,a38,a39,a40,a41,a42,a43,a44,a45,a46,a47,a48,a49,a50,a51,a52,a53,a54,a55,a56,a57,a58,a59,a60,a61,a62,a63,a64,a65,a66,a67,a68,a69,a70,a71,a72,a73,a74,a75,a76,a77,a78,a79,a80,a81,a82,a83,a84,a85,a86,a87,a88,a89,a90,a91,a92,a93,a94,a95,a96,a97,a98,a99,a100
2001,11310,9716,9227,8761,8307,7920,7534,7291,7048,6806,6563,6321,6109,5897,5685,5473,5262,5094,4927,4760,4592,4425,4254,4083,3911,3740,3569,3422,3276,3129,2983,2836,2737,2637,2538,2438,2338,2256,2173,2090,2007,1925,1869,1813,1758,1702,1647,1537,1427,1317,1207,1097,1047,996,946,895,845,814,784,753,722,692,658,623,589,555,521,487,454,420,387,353,322,292,261,230,200,177,155,132,109,87,75,63,50,38,26,22,18,14,10,6,5,3,2,1,0,0,0,0,0
2002,11708,10058,9551,9069,8596,8195,7794,7539,7283,7028,6773,6518,6303,6089,5875,5661,5447,5269,5091,4914,4736,4558,4391,4224,4056,3889,3722,3567,3412,3257,3101,2946,2839,2731,2623,2516,2408,2323,2239,2154,2070,1985,1926,1866,1807,1747,1687,1589,1492,1394,1296,1198,1129,1059,990,920,851,822,793,764,735,706,671,637,602,567,533,498,464,430,396,362,331,300,270,239,208,185,162,139,116,93,80,67,54,42,29,24,20,15,10,6,5,3,2,1,0,0,0,0,0
2003,12133,10423,9898,9399,8900,8482,8063,7797,7531,7264,6998,6732,6516,6300,6084,5868,5652,5462,5271,5081,4891,4700,4536,4373,4209,4045,3881,3719,3557,3395,3233,3071,2953,2836,2718,2601,2483,2398,2312,2226,2141,2055,1988,1921,1853,1786,1719,1638,1557,1476,1395,1314,1224,1135,1045,955,865,837,809,780,752,724,688,653,618,582,547,512,478,443,408,373,342,310,278,246,214,190,167,143,119,96,83,70,57,45,32,27,21,16,11,6,5,3,2,1,0,0,0,0,0
2004,12583,10810,10265,9747,9210,8770,8329,8055,7781,7506,7232,6958,6739,6521,6303,6085,5866,5664,5461,5259,5056,4854,4691,4529,4367,4205,4043,3876,3709,3541,3374,3207,3079,2951,2823,2695,2567,2479,2391,2303,2215,2127,2053,1979,1905,1831,1757,1689,1621,1554,1486,1418,1313,1209,1104,999,894,864,833,802,772,741,706,670,635,600,564,528,493,457,421,385,353,320,288,255,223,198,173,148,123,98,85,72,58,45,32,27,21,16,11,6,5,3,2,1,0,0,0,0,0
2005,13070,11228,10662,10125,9532,9062,8593,8311,8029,7747,7465,7183,6962,6741,6520,6299,6078,5866,5655,5444,5233,5021,4857,4693,4528,4364,4199,4029,3859,3689,3519,3349,3212,3075,2939,2802,2666,2572,2479,2386,2293,2200,2120,2041,1962,1882,1803,1743,1684,1624,1565,1505,1394,1284,1173,1063,952,913,873,834,795,755,720,685,649,614,579,542,506,469,433,397,364,331,298,265,232,205,179,153,127,101,87,74,60,46,32,27,21,16,11,6,5,3,2,1,0,0,0,0,0
2006,13630,11710,11119,10559,9919,9422,8926,8621,8316,8010,7705,7400,7173,6947,6720,6493,6266,6051,5835,5620,5405,5189,5019,4849,4679,4509,4338,4169,3999,3830,3660,3490,3345,3200,3055,2909,2764,2664,2565,2465,2366,2266,2183,2101,2018,1935,1852,1794,1736,1679,1621,1563,1455,1348,1240,1132,1025,972,920,868,816,764,729,695,660,625,590,554,517,481,445,408,375,341,307,274,240,214,188,162,136,110,95,80,65,50,35,30,24,19,14,9,7,5,3,2,0,0,0,0,0
2007,14149,12155,11542,10960,10311,9801,9290,8960,8629,8299,7968,7638,7403,7168,6933,6698,6463,6245,6027,5810,5592,5374,5194,5014,4834,4654,4474,4308,4141,3974,3808,3641,3487,3334,3181,3027,2874,2766,2659,2551,2443,2336,2251,2165,2080,1995,1910,1849,1787,1726,1665,1603,1507,1410,1313,1217,1120,1050,980,910,840,770,737,704,671,638,605,568,531,494,457,420,386,351,317,283,249,222,196,169,142,116,100,85,69,53,38,32,26,20,14,9,7,5,3,2,0,0,0,0,0
2008,14637,12574,11940,11338,10707,10193,9678,9321,8964,8607,8250,7892,7647,7402,7156,6911,6665,6446,6228,6009,5790,5571,5379,5187,4995,4803,4610,4448,4285,4122,3960,3797,3637,3476,3316,3156,2995,2878,2760,2643,2525,2408,2322,2235,2149,2063,1977,1908,1840,1772,1704,1635,1554,1472,1390,1309,1227,1138,1049,960,871,781,750,718,686,654,622,584,546,508,469,431,397,362,327,292,258,230,203,176,149,122,105,89,73,57,41,34,28,21,15,9,7,5,3,2,0,0,0,0,0
2009,15114,12984,12329,11708,11105,10590,10075,9694,9313,8932,8551,8170,7912,7654,7396,7138,6879,6658,6437,6216,5995,5774,5571,5368,5164,4961,4758,4597,4436,4275,4114,3953,3788,3622,3457,3291,3126,2998,2871,2744,2616,2489,2401,2313,2225,2137,2049,1973,1897,1822,1746,1670,1602,1533,1465,1397,1328,1225,1122,1019,916,813,778,743,707,672,637,599,560,522,484,446,410,374,338,302,266,238,211,183,155,127,111,94,77,60,43,36,30,23,16,9,7,5,3,2,0,0,0,0,0
2010,15601,13403,12727,12085,11501,10982,10462,10065,9667,9269,8872,8474,8200,7927,7653,7379,7105,6880,6655,6430,6205,5979,5767,5556,5344,5132,4920,4757,4595,4432,4269,4107,3938,3770,3601,3433,3265,3129,2993,2857,2721,2584,2491,2398,2305,2212,2119,2038,1958,1877,1797,1716,1654,1592,1530,1468,1407,1298,1190,1082,974,865,823,781,739,696,654,615,577,538,499,460,423,386,349,312,275,246,217,188,159,130,113,96,78,61,43,36,30,23,16,9,7,5,3,2,0,0,0,0,0
